title,date
"IHSG Rebound, Jangan Kelewat Pantau Saham-saham Prospek Cuan!",28 April 2021 08:13
"Mumpung Lagi Anyep, Yuk Cek Saham-saham Prospek Cuan Ini!",27 April 2021 08:34
"WSKT-BKSL Ngamuk, Giliran Saham ASSA-LPPF Ambruk!",26 April 2021 12:30
Ada Kabar Baik? Saham WSKT & WSKT Cs Melesat Pagi Ini,26 April 2021 10:00
Waskita Cuan Berapa Jual Tol Medan-Kualanamu? Ini Bocorannya,23 April 2021 18:30
Waskita Lepas 30% Saham Tol Medan-Kualanamu Rp 824 M,23 April 2021 12:15
Dear Market! Cek nih 9 Kabar Emiten Terbaru Sebelum Cari Cuan,21 April 2021 08:14
"Erick Rombak Komisaris-Direksi WSKT, Eks Stafsus Jokowi Masuk",20 April 2021 12:12
"Saham Konstruksi Dilirik Lagi Gaes Saat IHSG Merah, Ada Apa?",19 April 2021 10:04
"Kalau Ngomongin Utang, Ternyata BUMN Rajanya",16 April 2021 15:15
"Masih Pagi! Saham WSKT-PTPP cs Gacor, Inikah Pemicunya?",16 April 2021 10:03
"Balik Arah, Ada Angin Segar Saham BUMN Karya Kembali Hiaju",15 April 2021 10:58
"Pantau 8 Kabar Pasar 'Hot' Ini, BRI hingga Wulan Guritno",15 April 2021 08:55
"Ini Alasan Beban Pegawai Waskita Melesat Meski Rugi Rp 7,4 T",14 April 2021 13:58
"Rugi Rp 7 T, Gaji Pegawai Waskita Tak Naik, Pangkas Tunjangan",14 April 2021 11:34
Balas Dendam! Saham WSKT Cs Kompak Menghijau,14 April 2021 10:26
"Dear Sobat Market, Ada 7 Kabar Pasar 'Hot', Freeport-Waskita!",14 April 2021 08:50
"Simak 7 Kabar Ini, Penting untuk Cari Cuan dari Saham",14 April 2021 08:44
"Lepas Ruas Tol Semarang & Cinere, Waskita Kantongi Rp 2 T",13 April 2021 14:34
"Sesi I Hari Ini, Asing Lepas BBCA-BBRI, Koleksi TBIG-WSKT",13 April 2021 12:46
"Ramai-ramai Saham Konstruksi Ambruk, Apa Pemicunya?",13 April 2021 10:15
"Ada Investor Arab di Tol, Saham Konstruksi BUMN Masih Merah",12 April 2021 09:55
"Saham WSKT-PTPP Cs Menghijau, Begini Jeroan Bisnisnya!",09 April 2021 10:35
Bos Waskita Curhat: Soal Utang Menggunung & Rugi Rp 7 T,09 April 2021 09:00
"Belum Move On, Saham BUMN Karya Terjungkal Saat IHSG Hijau",08 April 2021 09:46
"Belum Bayar Utang & Digugat PKPU, Ini Respons Waskita Beton",07 April 2021 17:20
"Saham Bank Hary Tanoe Jawara, Saham Emiten Erick Pecundang",07 April 2021 16:03
"Saham Emiten Suaminya Puan Melesat, WSKT-WSBP Ambruk!",07 April 2021 12:30
"Kena Dead Cat Bounce, Saham-Saham BUMN Karya Ambruk Lagi",07 April 2021 09:49
"Saham BUMN Konstruksi Rebound, Ada Ancaman Dead Cat Bounce",06 April 2021 17:10
"Banjir Proyek Pemerintah, Saham BUMN Karya Masih Aja Jeblok",06 April 2021 12:25
"Kinerja 4 BUMN Karya Berdarah-darah, Masa 'Disuntik' Melulu?",06 April 2021 12:20
"Waskita Beton Digugat PKPU, Sahamnya Langsung Ambruk!",06 April 2021 11:17
"Astaga! Waskita Beton Digugat PKPU, Berapa Utangnya?",06 April 2021 10:27
"Nasib Saham Konstruksi BUMN, Masih Diobral karena Utang Jumbo",06 April 2021 10:02
"Mudik Resmi Dilarang, Bagaimana Nasib Saham Emiten Jalan Tol?",06 April 2021 08:20
"Wall Street Terus Cetak Rekor, IHSG Kapan Gak Tekor?",06 April 2021 06:50
Top Gainers-Losers Hari Ini: Saham BUMN Karya & SRIL Ambruk!,05 April 2021 17:19
"Saham BUMN Karya Kena Double Jab, ARB & Diobral Asing",05 April 2021 16:12
"Rugi Rp 7 T, Biaya Pegawai Waskita Malah Membengkak di 2020",05 April 2021 13:29
"Duh! WSKT-WIKA Cs Kompak ARB, Saham Grup Lippo Teratas",05 April 2021 12:43
"Dahlan: BUMN Karya Bernafas di Kerongkongan, Ini Faktanya",05 April 2021 12:11
"Parah! Disentil Dahlan, Saham Konstruksi BUMN ARB Berjamaah",05 April 2021 11:24
"Disebut Dahlan Berkinerja Parah, Saham BUMN Konstruksi Ambles",05 April 2021 09:42
Dahlan Iskan & Alarm Kebangkrutan BUMN Karya yang Berbunyi!,04 April 2021 08:40
"Disorot Dahlan Iskan, Begini Parahnya Kinerja BUMN Karya",03 April 2021 15:10
"Dahlan: BUMN Karya Haus Sampai Kerongkongan, Bakal Bangkrut?",02 April 2021 18:20
"Awas Saham IPO 'Kolesterol', Saham WSKT-Emiten Bakrie Ambruk!",01 April 2021 12:23
Besok Libur! Jangan Kelewat Cek Saham-saham Pilihan Hari Ini,01 April 2021 08:35
"Simak 9 Kabar Ini, Semoga Tak Ada April Mop Saat Cari Cuan",01 April 2021 08:29
"Bye Maret! INCO-TINS Jatuh, Deretan Saham Ini Tercuan Sebulan",01 April 2021 07:10
"Rugi 7,4 Triliun di 2020, Modal & Kas Waskita Karya Menguap",31 March 2021 21:19
Menteri PUPR Basuki: Rumah Saya Kena Gusur!,31 March 2021 20:31
"Bos Waskita Karya Ungkap Penyebab Rugi Besar Rp 7,4 T di 2020",31 March 2021 20:12
"Program 1 Juta Kompor Listrik, Erick Thohir: RI Hemat Rp 60 T",31 March 2021 19:00
"Geber Program 1 Juta Kompor Listrik, PLN Gandeng 9 BUMN Karya",31 March 2021 18:40
"IHSG Jatuh! 374 Saham Ambruk, WSKT-MARI Jadi Top Losers",30 March 2021 16:39
"Sadis! Saham TKIM-PTPP Diobral, BACA Naik Daun Lagi",30 March 2021 12:20
Saham WSKT-WIKA dkk Kompak Bonyok! Ini Pemicunya,30 March 2021 10:09
"Raja Nyungsep Hari Ini ANTM & Kena ARB, tapi IKAN kena ARA",29 March 2021 15:53
"Kuartet Saham Konstruksi BUMN Jeblok Parah Sebulan, Ada Apa?",29 March 2021 13:29
"Duh! WSKT-WIKA Babak Belur, Masih Ada Harapan Gak Sahamnya?",29 March 2021 12:23
"9 Kabar Pasar Saham yang Sayang Dilewatkan, Simak Bro-Sis!",29 March 2021 09:40
"Waduh Pandemi 2020! Waskita Cetak Rugi Bersih Rp 7,4 T",26 March 2021 14:31
"Wapres Ma'ruf Amin Blusukan ke Proyek PTPP Cs, Ada Apa ya?",23 March 2021 10:18
"Apa Kabar Saham-saham Mansurmology, Sudah Cuan Berapa ya?",18 March 2021 13:20
"Dear Investor Saham WSKT dkk, Ada Kabar Baik dari Jokowi nih!",17 March 2021 12:40
"Gokil! Tiba-tiba Saham WSKT dkk Terbang, Ada Apa Gerangan?",17 March 2021 10:10
"Ganti Pengurus RUPS BNI & PTBA, Ada Direksi Dicopot Erick?",16 March 2021 16:12
"WSKT Operasikan Becakayu Seksi IA, Bekasi-Priok Kian Dekat",16 March 2021 13:32
"Lepas Tol Medan ke Investor Hong Kong, WSKT Dapat Rp 824 M",09 March 2021 14:40
"Ngiler Dana SWF, BUMN Karya Siapkan Proyek untuk Divestasi",08 March 2021 19:35
"Sebelum Trading, Intip 8 'Gosip' Pasar Dulu! Ada ISAT-Kaesang",04 March 2021 08:30
"Geber Proyek Ibu Kota Baru, WSKT Bangun Jargas Rumah Tangga",03 March 2021 12:05
Awas Jangan Korupsi! 27 BUMN Ini Sudah Diawasi KPK,02 March 2021 17:53
"Deretan Sektor dengan Rasio Utang Segunung, Ini Alasannya!",23 February 2021 14:24
"Ini Alasan Saham Konstruksi Masih Oke, Meski Utang Segunung!",19 February 2021 14:25
"Siap-siap IHSG ke 6.450, Cekidot Saham-saham Pilihan Ini!",18 February 2021 08:15
Mau Banget Beli Saham Konstruksi? Cek Dulu Rekomendasinya,17 February 2021 12:22
"Magic SWF Mulai Hilang, Saham Konstruksi Mulai Loyo",17 February 2021 10:11
"Ada SWF Jangan Gelap Mata Beli Saham Konstruksi, Cek Valuasi!",17 February 2021 08:12
"Ada SWF, Begini Analisa Broker Asing untuk Saham Konstruksi",16 February 2021 14:43
"SWF Jokowi Full Team, Saham Emiten Konstruksi Ngamuk!",16 February 2021 11:42
"Simak Saham Pilihan Hari Ini, Saat 'Bandar' Sedang Tarik Cuan",16 February 2021 08:15
Wamen BUMN: Transaksi 9 BUMN di Pasar Digital Tembus Rp 11 T,15 February 2021 13:53
"Diborong Investor, Saham Konstruksi Pelat Merah Melesat",15 February 2021 13:04
"Waskita Dapat Restu Kreditur untuk Restrukturisasi Rp 2,72 T",15 February 2021 09:45
Besok Imlek! Ya Ampun....Saham ADHI dkk Merosot,11 February 2021 09:50
"Cari Cuan Jelang Imlek, Simak Sederet Saham Pilihan Ini",11 February 2021 08:25
"Gandeng TOA Jepang, Waskita Beton Bidik Kontrak Baru Rp 7,8 T",10 February 2021 09:32
Simak 9 Kabar Pasar: Ada Jiwasraya & Bank Digital AGRO,10 February 2021 08:19
"Anak Usaha Waskita Karya Bidik Kontrak Baru Rp 7,88 T",09 February 2021 21:05
"Asing Obral 3 Saham BUMN Konstruksi, Serok Cuan Dulu!",09 February 2021 10:39
"Berburu Cuan Jelang Imlek, Simak Sederet Saham Pilihan Ini",09 February 2021 08:15
"Kabar Baik dari Airlangga, Saham WSKT-ADHI dkk Unstoppable!",09 February 2021 06:20
"SWF RI Banyak Peminat, Saham Konstuksi BUMN Pesta Pora",08 February 2021 13:29
"Belum Capek Nanjak Bro-Sis, Saham WSKT-ADHI Cs Unstoppable!",03 February 2021 10:58
"Bikin Senewen! 12 Saham Kena ARB, Kebanyakan BUMN",29 January 2021 06:48
Aksi Obral Saham Bikin IHSG Ambles Lebih dari 1%,28 January 2021 09:08
"Terbang Gegara SWF, Saham Konstruksi Masih Layak Serok?",28 January 2021 08:52
"Cuan, Cuan, Cuan! 11 Saham Ini Ngamuk, BUMN Karya Top",28 January 2021 06:45
"Dewas SWF Dilantik Jokowi, Saham Konstruksi to The Moon",27 January 2021 17:15
"Dibumbui Sentimen SWF, Masih Menarikkah Saham Konstruksi?",26 January 2021 18:05
Ini Rincian Tol Kayu Agung-Palembang yang Diresmikan Jokowi,26 January 2021 13:53
"Saham Mau Ijo-Merah, Ini Prinsip Penganut Aliran Mansurmology",26 January 2021 11:13
"Dari WSKT Sampai ANTM, Inilah 9 Kabar Korporasi Pekan ini",24 January 2021 15:20
"Parah! IHSG 'Kebakaran', Saham-saham BUMN Dominasi ARB Club",22 January 2021 16:43
"Garap Tol Sepanjang 1.087 KM, Waskita Butuh Dana Rp 20 T",22 January 2021 11:20
"SWF Jokowi Segera Dirilis, kok Saham 4 BUMN Karya Ambruk?",22 January 2021 10:10
"BRI Rombak 4 Direksi, Nasabah Kresna Life Stres & Depresi",22 January 2021 08:16
"Disorot Erick, WSKT Siap Selesaikan Restrukturisasi Utang Q1",21 January 2021 20:17
Bos Waskita Beberkan Calon tol yang Siap Dilego ke SWF,21 January 2021 18:15
Punya Saham TLKM? Simak Bos Telkom Bocorin Platform Baru & 5G,21 January 2021 15:35
"Disebut Erick, Sejumbo Apa Utang PTPN, BUMN Karya & KAI?",21 January 2021 14:06
"Pejabat SWF Jokowi Diumumkan, Saham Konstruksi Terbang!",21 January 2021 10:15
"Silahkan Baca 6 Kabar Pasar, Penting Buat Serok Saham Cuan",21 January 2021 08:49
"Erick Sebut 3 BUMN Punya Utang Tinggi: PTPN, BUMN Karya & KAI",20 January 2021 15:55
"'Dibeking' Yusuf Mansur & LKH, Saham Grup MNC Terbang!",20 January 2021 12:48
Ciee...Yusuf Mansur Ikut Lo Kheng Hong Borong Saham Grup MNC,20 January 2021 08:35
"Tolong! Daftar 26 Saham Kena ARB Kemarin, Saham Kamu Ada Gak?",20 January 2021 06:36
"Diobral Investor, Saham WIKA ADHI Dkk Ambles & Dekati ARB",19 January 2021 10:08
"Nasib IHSG Hari Ini Menurut Pelaku Pasar, Ada Bad News?",19 January 2021 08:54
"Bursa RI Bakal Menguat, Mau Cuan? Cek Dulu Sederet Saham Ini",19 January 2021 08:32
"Corona Bikin IHSG Ciut, Cek Dulu Saham Potensi Cuan Hari Ini!",18 January 2021 08:29
Waskita Akhiri Pemeringkatan dengan Fitch Ratings,16 January 2021 09:31
"SWF Jokowi di Depan Mata, Saham Konstruksi Ngamuk Lagi!",15 January 2021 13:59
Deretan Saham 'Pelat Merah' yang Bikin Bangga Wamen BUMN,14 January 2021 19:07
"Geber Proyek Pemerintah, Waskita Bidik Kontrak Baru Rp 31 T",13 January 2021 13:22
Bos Waskita: SWF Darah Baru untuk Bisnis Infrastruktur RI,13 January 2021 11:17
"10 Saham Paling Ramai Trading Sepekan, Lah kok BUMN Semua?",11 January 2021 07:52
Gokil! Sepekan Bisa Cuan 80% dari Saham Ini,09 January 2021 21:00
"Ada Sinyal IHSG Rebound, Ini Pilihan Saham Cuan Hari Ini",07 January 2021 08:47
"Cek! 10 Saham Tercuan-Terboncos, Ada yang 2 Hari Melesat 69%",07 January 2021 06:39
"Waskita Karya & TGRA Kerja Sama Proyek EBT Senilai Rp 12,5 T",06 January 2021 11:05
"Baca Dulu 7 Informasi Penting Ini, Sebelum Serok Cuan",06 January 2021 08:39
"Waskita-Terregra Duet Garap Proyek EBT Jumbo, Rp 12,5 T",06 January 2021 08:15
"Untung Gede Sehari, 5 Saham Ini Cuan Double Digit!",06 January 2021 06:38
Tolong Pak Erick! Karyawan BUMN Ini 8 Bulan Belum Gajian,05 January 2021 13:39
"Mansurmology Sebut Waskita Teken Proyek EBT Rp 12 T, Beneran?",05 January 2021 15:18
"Kasihan... Tak Bisa Diakses, Situs Istaka Karya Belum Bayar",05 January 2021 14:22
Terungkap! Manajemen Istaka Karya Akui 8 Bulan Belum Gajian,05 January 2021 14:09
Tolong Pak Erick! Karyawan BUMN Ini 8 Bulan Belum Gajian,05 January 2021 13:39
"Waskita Jual 11 Ruas Tol, Crazy Rich RI Ini Masuk Bisnis Emas",30 December 2020 11:24
"Bye-bye 2020! Ini Rapor 4 BUMN Konstruksi, Ada yang Cuan 200%",30 December 2020 09:10
Bingung Pilih Saham Apa di Hari Terakhir? Ini Rekomendasinya,30 December 2020 08:17
Catat! PTPP Dapat Sentimen Super Positif dari SWF Awal 2021,29 December 2020 20:10
Erick Tunjuk Timses Mantu Jokowi Jadi Komisaris Anak BUMN,29 December 2020 18:35
"Waskita Siap Lepas 11 Ruas Tol di 2021 via SWF, Bidik Rp 31 T",29 December 2020 18:15
'Sabda' Mansurmology: Pegangin Saham Waskita-Adhi Karya!,29 December 2020 12:24
Rencana Besar SWF Jokowi: Ekspansi ke Proyek Luar Negeri!,28 December 2020 14:47
Saham Anak BUMN Konstruksi Ngamuk! Ada Apa nih?,28 December 2020 09:49
Belvin Sebut SWF Jadi Sentimen Super Positif Saham WSBP,26 December 2020 11:04
Bakal Ada Menteri Baru! Cek Dulu Saham-saham Pilihan Hari Ini,22 December 2020 08:23
"Disenggol Mansurmology, Saham Konstruksi Gila-gilaan!",21 December 2020 14:38
"Digoyang Sentimen Materai Ceban, Cek Dulu Saham Pilihan Ini!",21 December 2020 08:22
"Berburu Saham Cuan Gokil Lagi, Ini Sederet Pilihannya",18 December 2020 09:04
"Jokowi Bikin Saham ADHI-WSKT Cs Melesat, Masih Layak Koleksi?",18 December 2020 07:35
"Minggir Semua, 10 Saham Ini Cuan Gede! Ada Grup Bakrie",18 December 2020 06:40
"Saham Konstruksi & Semen 'Kerasukan', Ternyata Gegara Ini Toh",17 December 2020 10:19
Top! 3 Saham BUMN Konstruksi Diburu Investor Meski IHSG Merah,04 December 2020 10:22
Ini 11 Ruas Tol Waskita yang Bakal Dilepas Seharga Rp 11 T,02 December 2020 12:32
Ini 10 Kabar yang Patut Disimak Sebelum Pilih Saham Cuan,02 December 2020 08:28
"Incar Rp 11 T, Waskita Karya Bakal Divestasi 9 Ruas Tol",01 December 2020 15:10
"Covid-19 Bikin Kacau, 6 Saham Ini Hancur Lebur & Hampir ARB",01 December 2020 06:21
Mansurmology: Yusuf Mansur Bicara Saham BUMN Karya Nih,30 November 2020 14:42
"Pakai Precast Waskita Beton, Bangun Rumah Selesai Sebulan",30 November 2020 08:54
"Biar Update, Simak 10 Kabar dari Aksi Korporasi Emiten",26 November 2020 08:37
"Hingga Oktober, Waskita Karya Kantongi Kontrak Baru Rp 15 T",25 November 2020 19:40
"Tak Peduli Menteri Edhy Ditangkap KPK, Saham BUMN Meroket",25 November 2020 11:15
"Luhut Bawa Oleh-oleh Rp 28 T, Bikin Saham Konstruksi Terbang",24 November 2020 11:18
"Saham ADHI dkk Cuan Gede, Gegara Luhut Bawa Pulang Rp 28 T?",24 November 2020 08:19
"Kala Yusuf Mansur Main Saham BRIS & Garuda, Bidik Mana Lagi?",21 November 2020 10:22
"Izin 5 Broker Saham Dicabut BEI, Sentul City Digugat PKPU",20 November 2020 08:23
Waskita Toll Road Raih Rp550 M dari Emisi RDPT Infrastruktur,19 November 2020 12:06
"Ajak Anak Muda Melek Saham, Ini 3 Sektor Pilihan Yusuf Mansur",19 November 2020 10:32
"Wow! Emiten Konstruksi Ngamuk Lagi, Saham-saham Ini Pelakunya",17 November 2020 09:53
"10 Saham Ini Untung Gede Kemarin, Ada 6 Saham Konstruksi!",17 November 2020 06:50
Saham Jalan Tol Ngamuk! Efek Yusuf Mansur atau Joglosemar?,16 November 2020 12:22
"Jokowi Geber Pembangunan Tol, Saham Konstruksi Beterbangan",16 November 2020 10:02
"Usai BRI Syariah & Garuda, Yusuf Mansur Bidik Saham-saham Ini",16 November 2020 07:30
"10 Saham Ini ""Kesetanan"" Pekan Lalu, Ada 5 BUMN Gengs!",16 November 2020 06:45
BUMN Karya Gencar Kejar Proyek Hingga ke Luar Negeri,12 November 2020 17:25
"10 Saham BUMN Ini Ngamuk, Efek Mansurmologi atau Erickmologi?",10 November 2020 07:55
"Biden Unggul, Ini 5 Saham yang Dikoleksi & Dilepas Asing",06 November 2020 06:22
"IHSG 'Pesta Pora' Biden Bakal Menang, Terbang Nyaris 2%",05 November 2020 12:08
Lagi! Erick Tunjuk Relawan Jokowi Jadi Komisaris PT PELNI,02 November 2020 18:37
"OJK Cabut Izin Perusahaan Sandi-Rosan, Hero dkk Cetak Rugi Q3",02 November 2020 09:15
"Bosque! Simak 10 Saham Tercuan di Oktober, Ada BRIS & ANTM",02 November 2020 07:18
"Tahun Ini Waskita Karya Lepas 2 Ruas Tol, Mana Saja?",28 October 2020 08:40
Catat! 1 dari 4 Anak Usaha Waskita Karya Bakal IPO di 2021,27 October 2020 20:50
"Penantian Waskita, Dana Abadi akan Bantu Divestasi Ruas Tol",27 October 2020 17:22
"Investor Borong Saham Waskita dkk Saat IHSG Merah, Ada Apa?",22 October 2020 09:48
Diam-diam Saham Waskita Melesat 35% & Diborong Asing,14 October 2020 10:53
"Saham Konstruksi Jadi Idola, Mulai Diborong Asing & Cuan Gede",14 October 2020 09:22
UU Ciptaker Jokowi Bikin Saham Konstruksi BUMN Cuan Gede,09 October 2020 17:00
Fitch Ubah Rating Perusahaan Ini jadi CCC+,08 October 2020 12:19
Sudah Berapa BUMN yang Pengurusnya Dirombak Erick Thohir?,25 September 2020 18:45
"Sebelum Cari Cuan, Simak Dulu 10 Kabar Pasar ""Hot"" Ini!",22 September 2020 08:30
"Proyek Fiktif Disidik KPK, WSKT Jelaskan Dampak ke Kinerja",21 September 2020 13:52
"Jual 30% Saham Tol Becakayu Jadi RDPT, Waskita Raih Rp 550 M",03 September 2020 10:13
"Ramai Emiten Jual Aset, Ada Apa Ini?",02 September 2020 14:40
"Modal Kerja, Waskita Suntik Utang Waskita Toll Road Rp 4,5 T",31 August 2020 15:29
"Jatuh Tempo Oktober 2020, Waskita Siap Bayar Obligasi Rp2,5 T",25 August 2020 11:57
"8 Investor Siap Beli Tol WSKT, Kookmin Bakal Pegang 67% BBKP",25 August 2020 08:04
"Wah, 8 Calon Investor Jajaki Beli 2 Ruas Tol Waskita Rp 6 T",24 August 2020 17:03
"Ambruk Lagi, 3 Tahun Ada 8 Kecelakaan di Proyek Waskita Karya",19 August 2020 19:18
"Konstruksi Tol Cibitung Ambruk, Begini Nasib Saham WSKT-WSBP",18 August 2020 14:18
"Ya Ampun, Utang Luar Negeri BUMN Menggunung Sampai Rp 874 T",15 August 2020 06:06
Seberapa Menarik 3 Anggota Baru Indeks LQ45?,07 August 2020 07:28
Hati-hati Trading! 5 Saham Ini Babak Belur Kemarin,05 August 2020 06:15
"Sempat Tertunda, Waskita Beton Akhirnya Bayar Bunga Obligasi",04 August 2020 09:49
"Bakal Ada 3 Penghuni Baru, Ini Dia 5 Saham Jawara Indeks LQ45",30 July 2020 14:27
"Gagal Bayar Bunga Obligasi, Saham WSBP Disuspensi Bursa",30 July 2020 11:39
"Gagal Bayar Bunga Obligasi, Ini Penjelasan Waskita Beton",30 July 2020 11:06
"Derita WSBP: Dirut Ditangkap, Kupon Obligasi Gagal Bayar!",30 July 2020 09:20
"Waduh, Waskita Beton Gagal Bayar Bunga Obligasi",30 July 2020 07:31
"Himbara Sudah Salurkan Rp 32 T, Laba BCA Capai Rp 12,2 T",28 July 2020 09:20
"Didepak dari LQ45, Saham WSKT, LPPF & BRPT Rontok!",27 July 2020 11:02
"Duh! Ada Kasus Proyek Fiktif, Saham WSBP & WSKT Babak Belur",27 July 2020 09:59
"BRPT, LPFF & WSKT Terlempar dari IDX30, Siapa Penggantinya?",27 July 2020 07:53
"Ini Dia 3 Saham Penghuni Baru LQ45, BRPT, WSKT & LPPF Didepak",27 July 2020 07:25
"Dirut Ditangkap KPK, Begini Gerak Saham WSBP",24 July 2020 10:12
"Tersangka KPK, Ini Profil Desi Arryani eks Bos Jasa Marga",23 July 2020 18:57
Bos WSBP Dijemput Paksa & Jadi Tersangka Korupsi WSKT,23 July 2020 18:46
"Jerat Eks Bos JSMR, Ini Fakta-fakta Proyek Fiktif WSKT",23 July 2020 18:32
"Proyek Fiktif WSKT, KPK Tetapkan Eks Bos JSMR Jadi Tersangka",23 July 2020 18:19
"Aduh, Utang Luar Negeri BUMN Makin Meroket!",18 July 2020 06:50
"Tok! DPR Restui Kucuran Dana Rp 151,1 T ke BUMN Ini",15 July 2020 18:19
DPR Panggil Erick Thohir Bahas Dana Talangan Hingga PMN 2020,15 July 2020 14:11
